name,location,rate,online_order,approx_cost(for two people)
Cutcakes,Kumaraswamy Layout,,Yes,300
Lassi Spot,Kumaraswamy Layout,3.3/5,Yes,100
Sandwich Hub,Jayanagar,3.4/5,Yes,300
Healthy Bakes 'n' Brew,Jayanagar,,Yes,150
Udupi Sri Krishna Cafe,Jayanagar,3.9/5,Yes,600
Starlite Bakery & Fastfood,Jayanagar,3.7/5,Yes,300
Veganbreak24x7,City Market,2.8/5,Yes,199
Aadhya Hotel,Basavanagudi,3.3/5,Yes,800
Dodda Mane Baaduta,Banashankari,3.5/5,Yes,250
Swadd Kitchen,Basavanagudi,3.4/5,Yes,500
Nandini Milk Parlour and Restaurant,Mysore Road,,Yes,250
Happy Chopsticks,Basavanagudi,3.6/5,Yes,300
Sai Super Sandwich,Banashankari,NEW,Yes,200
Right Pizza,Basavanagudi,NEW,Yes,300
Udupi Upachar,Banashankari,3.3/5,Yes,500
Davanagere Benne Dose Hut,Banashankari,3.4/5,Yes,100
The Sip Shop,Basavanagudi,NEW,Yes,200
Jalsa,Banashankari,4.1/5,Yes,800
Subz,Jayanagar,4.2/5,Yes,"1,000"
Rajastani Rasoi,Basavanagudi,,Yes,100
Sri Banashankari Upahara,Kumaraswamy Layout,NEW,Yes,150
Cafe Shuffle,Banashankari,4.2/5,Yes,600
Mint and Mustard,Basavanagudi,4.0/5,Yes,750
Chinese Square,Basavanagudi,3.9/5,Yes,200
Hyderabad Express,Banashankari,NEW,Yes,300
Punjabi Raswada,Jayanagar,3.5/5,Yes,800
Vinny's,Banashankari,4.2/5,Yes,800
Chetty's Corner,Uttarahalli,3.4/5,Yes,200
Kapoor's Cafe,Jayanagar,4.2/5,Yes,800
Donne Biryani & Kabab Corner,Kumaraswamy Layout,3.3/5,Yes,200
Sukh Sagar,Jayanagar,3.8/5,Yes,450
S M V Snacks Corner,Basavanagudi,3.7/5,Yes,200
Andhra Ruchulu,Jayanagar,4.1/5,Yes,"1,000"
The Samosa Co,Jayanagar,,Yes,200
Steaming Mugs,Basavanagudi,3.9/5,Yes,700
San Churro Cafe,Banashankari,3.8/5,Yes,800
Rajathadri Food Fort,Jayanagar,4.0/5,Yes,600
Brew Meister,Jayanagar,4.1/5,Yes,"1,500"
Rasoi,Banashankari,3.3/5,Yes,300
Mr. Singh Da Dhaba,Kumaraswamy Layout,3.6/5,Yes,300
Kababs N Biryani,Banashankari,3.4/5,Yes,200
Ayodhya Upachar,Banashankari,4.3/5,Yes,200
Biriyani Mane,Jayanagar,3.8/5,Yes,400
Cafe Ajfan,Jayanagar,4.2/5,Yes,700
Brundhavana Food Point,Kumaraswamy Layout,4.0/5,Yes,300
SLV Corner Restaurant,Basavanagudi,4.1/5,Yes,550
Biryani Royals Garden,Kumaraswamy Layout,NEW,Yes,500
